Periodico,Quantidade
IEEE/ACM Trans. Netw.,6
2021 International Conference on Military Technologies (ICMT),1
2020 IEEE 30th International Workshop on Machine Learning for Signal Processing (MLSP),2
IEEE Transactions on Industrial Informatics,10
2020 IEEE 17th International Conference on Mobile Ad Hoc and Sensor Systems (MASS),2
"2021 21st International Conference on Control, Automation and Systems (ICCAS)",3
2017 First International Conference on Recent Advances in Aerospace Engineering (ICRAAE),1
Journal of Communications and Networks,3
GLOBECOM 2020 - 2020 IEEE Global Communications Conference,18
Proc. ACM Hum.-Comput. Interact.,3
Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems,4
Proceedings of the Agent-Directed Simulation Symposium,2
International Journal of Disaster Risk Reduction,23
Proceedings of the Mediterranean Conference on Pattern Recognition and Artificial Intelligence,1
2019 5th International Conference on Transportation Information and Safety (ICTIS),1
2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT),1
AI Matters,3
Pervasive and Mobile Computing,11
IEEE Wireless Communications,9
IoT,2
Minerals,4
Proceedings of the 18th ACM Symposium on Mobility Management and Wireless Access,1
Research in Transportation Business & Management,1
Transportation Research Part E: Logistics and Transportation Review,9
Proceedings of the 1st ACM SIGCAS Conference on Computing and Sustainable Societies,1
"Proceedings of the 4th International Conference on Networking, Information Systems &amp; Security",2
2021 IEEE 15th International Conference on Semantic Computing (ICSC),1
Digital Signal Processing,18
Proceedings of the 8th International Conference on Computer Modeling and Simulation,1
"Proceedings of the 2021 ACM Conference on Fairness, Accountability, and Transparency",1
ICC 2020 - 2020 IEEE International Conference on Communications (ICC),6
2020 International Conference on Robots Intelligent System (ICRIS),2
2013 IEEE International Geoscience and Remote Sensing Symposium - IGARSS,2
Journal of Power Sources,4
Proceedings of the 2019 2nd International Conference on Service Robotics Technologies,2
2010 IEEE International Conference on Robotics and Biomimetics,2
2019 IEEE 1st International Conference on Civil Aviation Safety and Information Technology (ICCASIT),1
"2020 International Conference on Computer Network, Electronic and Automation (ICCNEA)",1
Proceedings of the 2nd International Conference on Computer Science and Application Engineering,4
Proceedings of the 12th International Conference on Ubiquitous Information Management and Communication,1
2021 the 5th International Conference on Information System and Data Mining,1
2015 IEEE 19th International Conference on Computer Supported Cooperative Work in Design (CSCWD),1
Machine Learning with Applications,3
2019 6th NAFOSTED Conference on Information and Computer Science (NICS),1
Proceedings of the 2nd International Conference on Control and Computer Vision,1
2021 XV International Scientific-Technical Conference on Actual Problems Of Electronic Instrument Engineering (APEIE),2
2020 IEEE Conference on Cognitive and Computational Aspects of Situation Management (CogSIMA),2
2020 American Control Conference (ACC),3
"2011 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering",1
Geodesy and Geodynamics,1
"Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",1
2021 International Conference on Robotics and Control Engineering,1
2019 15th International Conference on Mobile Ad-Hoc and Sensor Networks (MSN),4
2019 Twelfth International Conference on Ubi-Media Computing (Ubi-Media),1
2021 16th Conference on Computer Science and Intelligence Systems (FedCSIS),1
2020 21st International Symposium on Quality Electronic Design (ISQED),1
2019 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),1
2014 IEEE 57th International Midwest Symposium on Circuits and Systems (MWSCAS),1
"2020 International Conference on Sensing, Diagnostics, Prognostics, and Control (SDPC)",1
"2019 8th International Conference on Innovation, Communication and Engineering (ICICE)",1
2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),1
Proceedings of the 1st Workshop on Context Sensing and Activity Recognition,1
SIGAPP Appl. Comput. Rev.,1
2018 International Joint Conference on Neural Networks (IJCNN),4
ACM Trans. Intell. Syst. Technol.,2
"Estuarine, Coastal and Shelf Science",4
"2020 Latin American Robotics Symposium (LARS), 2020 Brazilian Symposium on Robotics (SBR) and 2020 Workshop on Robotics in Education (WRE)",2
Optics Communications,2
"2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",1
"2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",1
Proceedings of the 2013 Winter Simulation Conference: Simulation: Making Decisions in a Complex World,1
2012 11th International Conference on Machine Learning and Applications,1
2021 IEEE International Conference on Consumer Electronics and Computer Engineering (ICCECE),1
2019 4th International Conference on Robotics and Automation Engineering (ICRAE),1
Proceedings of the 2019 3rd International Conference on Advances in Image Processing,2
2021 IEEE MTT-S International Wireless Symposium (IWS),1
2021 5th International Conference on Digital Signal Processing,2
"2021 International Conference on Intelligent Computing, Automation and Applications (ICAA)",1
"Proceedings of the Fourth IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",1
2020 IEEE International Radar Conference (RADAR),2
IEEE Transactions on Broadcasting,1
Reliability Engineering & System Safety,9
Environments,2
The Crop Journal,6
2015 12th Conference on Computer and Robot Vision,1
2020 5th International Conference on Control and Robotics Engineering (ICCRE),1
2020 16th International Conference on Distributed Computing in Sensor Systems (DCOSS),3
"Proceedings of the 2019 4th International Conference on Robotics, Control and Automation",2
2019 IEEE Wireless Communications and Networking Conference (WCNC),3
Journal of Safety Science and Resilience,3
2020 International Conference on Big Data Artificial Intelligence Software Engineering (ICBASE),2
ACM SIGGRAPH 2014 Courses,1
Education for Chemical Engineers,1
2017 IEEE International Symposium on Antennas and Propagation USNC/URSI National Radio Science Meeting,1
Proceedings of the 2021 IEEE/ACM 25th International Symposium on Distributed Simulation and Real Time Applications,3
2018 Annual American Control Conference (ACC),3
